"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-6.58269,-6.58269,-5.30668,-4.25463,6.90733
90.00184008,-6.74866,-6.74866,-5.47647,-4.42797,6.9148
90.0043337,-6.97019,-6.97019,-5.70468,-4.66169,6.92198
90.00553038,-7.07493,-7.07493,-5.81331,-4.77385,6.92412
90.00565998,-7.08628,-7.08628,-5.82507,-4.78592,6.92435
90.00686952,-7.19105,-7.19105,-5.93399,-4.89867,6.92567
90.00851946,-7.33168,-7.33168,-6.08091,-5.05153,6.92578
90.00918846,-7.3887,-7.3887,-6.1397,-5.11351,6.92582
90.00991626,-7.44978,-7.44978,-6.20367,-5.18093,6.9252
90.01000282,-7.45704,-7.45704,-6.21127,-5.18888,6.92512
90.01017595,-7.47157,-7.47157,-6.22631,-5.20478,6.92497
90.01121472,-7.55752,-7.55752,-6.31654,-5.30018,6.92327
90.01196552,-7.61964,-7.61964,-6.38088,-5.36845,6.92204
90.01282715,-7.68966,-7.68966,-6.45473,-5.44679,6.9198
90.01320052,-7.72,-7.72,-6.48619,-5.48074,6.91884
90.01354835,-7.74826,-7.74826,-6.5155,-5.51202,6.91793
90.01452098,-7.82593,-7.82593,-6.59746,-5.59948,6.91457
90.01504472,-7.86775,-7.86775,-6.64106,-5.64627,6.91275
90.01508551,-7.87097,-7.87097,-6.64445,-5.64991,6.91258
90.01555147,-7.90773,-7.90773,-6.68291,-5.69131,6.91065
90.01603245,-7.94516,-7.94516,-6.72262,-5.73404,6.90865
90.01699441,-8.02,-8.02,-6.80072,-5.81857,6.90369
90.01785365,-8.08526,-8.08526,-6.87049,-5.89408,6.89925
90.01865818,-8.14636,-8.14636,-6.9345,-5.96383,6.8951
90.01895959,-8.16925,-8.16925,-6.95848,-5.98996,6.89319
90.01926349,-8.19179,-8.19179,-6.98266,-6.01631,6.89125
90.02034217,-8.2718,-8.2718,-7.0671,-6.1088,6.8844
90.02118988,-8.33298,-8.33298,-7.13262,-6.18022,6.87802
90.02288531,-8.45534,-8.45534,-7.2615,-6.32306,6.86527
90.02596302,-8.66885,-8.66885,-7.4883,-6.57461,6.83736
90.02745393,-8.76877,-8.76877,-7.59473,-6.69326,6.82186
90.02773833,-8.78783,-8.78783,-7.61503,-6.71549,6.8189
90.02884025,-8.85982,-8.85982,-7.69188,-6.80164,6.80638
90.02960004,-8.90945,-8.90945,-7.74488,-6.85968,6.79774
90.03111962,-9.00635,-9.00635,-7.84857,-6.97575,6.77909
90.03354904,-9.15689,-9.15689,-8.01016,-7.15591,6.74671
90.03840789,-9.4421,-9.4421,-8.31824,-7.50031,6.6726
90.04812559,-9.95041,-9.95041,-8.87577,-8.12916,6.48778
90.0573436,-10.3574,-10.3574,-9.33394,-8.65486,6.26857
90.07152899,-10.8434,-10.8434,-9.90735,-9.33406,5.85164
90.08456213,-11.1425,-11.1425,-10.2955,-9.82192,5.38777
90.1106284,-11.3319,-11.3319,-10.6846,-10.4161,4.25201
90.13732749,-10.9887,-10.9887,-10.5693,-10.5146,2.83817
90.19072568,-8.8865,-8.8865,-8.95631,-9.31565,-0.514003
90.20817995,-7.82155,-7.82155,-8.05609,-8.5437,-1.71003
90.21980685,-7.02101,-7.02101,-7.3648,-7.93482,-2.50925
90.22377869,-6.73185,-6.73185,-7.11273,-7.71027,-2.78029
90.22859839,-6.37119,-6.37119,-6.7968,-7.4272,-3.10524
90.23823779,-5.62022,-5.62022,-6.13403,-6.8283,-3.73349
90.25437349,-4.28383,-4.28383,-4.94055,-5.73562,-4.68194
90.25990738,-3.80395,-3.80395,-4.50817,-5.33598,-4.97229
90.26437976,-3.40878,-3.40878,-4.15076,-5.0043,-5.19211
90.2676308,-3.11766,-3.11766,-3.88671,-4.75853,-5.34335
90.27105355,-2.80786,-2.80786,-3.60503,-4.49571,-5.49483
90.27789904,-2.17889,-2.17889,-3.03109,-3.95824,-5.77463
90.29035599,-1.0063,-1.0063,-1.95413,-2.94321,-6.20742
90.30186214,0.103915,0.103915,-0.926595,-1.96758,-6.52189
90.31958211,1.8494,1.8494,0.703708,-0.406599,-6.8505
90.33038552,2.92716,2.92716,1.72024,0.574325,-6.95982
90.33514429,3.40323,3.40323,2.17237,1.01245,-6.98638
90.33781422,3.67033,3.67033,2.4271,1.25969,-6.99555
90.33887621,3.77657,3.77657,2.52842,1.3584,-6.99743
90.34100019,3.98825,3.98825,2.73166,1.55582,-7.00118
90.34304503,4.19204,4.19204,2.92732,1.74645,-7.00176
90.34570471,4.45563,4.45563,3.18182,1.99506,-6.999
90.34643969,4.52847,4.52847,3.25215,2.06377,-6.99735
90.34732524,4.61567,4.61567,3.33689,2.14678,-6.99537
90.34935443,4.8155,4.8155,3.53105,2.33699,-6.98876
90.35083113,4.96011,4.96011,3.67213,2.47576,-6.98251
90.35343287,5.21334,5.21334,3.92067,2.72024,-6.96858
90.35573681,5.43573,5.43573,4.13967,2.93719,-6.95314
90.358392,5.6896,5.6896,4.39207,3.18722,-6.93176
90.36004981,5.84665,5.84665,4.54867,3.34332,-6.91646
90.36108929,5.94423,5.94423,4.64686,3.4412,-6.90581
90.36220428,6.04889,6.04889,4.75152,3.5462,-6.89437
90.36394959,6.21102,6.21102,4.91535,3.71016,-6.87466
