"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-4.0441,-4.04406,-4.84215,2.16786,2.62837
90.001135,-3.98111,-3.98106,-4.90243,2.09901,2.55764
90.00150015,-3.96084,-3.9608,-4.92156,2.07673,2.53474
90.00200077,-3.93275,-3.93271,-4.94778,2.04619,2.50335
90.00282061,-3.88674,-3.8867,-4.98996,1.99618,2.45195
90.00368806,-3.83806,-3.83802,-5.03459,1.94286,2.39712
90.00488834,-3.77003,-3.76999,-5.09509,1.86909,2.32125
90.00718947,-3.63829,-3.63825,-5.2082,1.72646,2.17448
90.01104932,-3.41352,-3.41347,-5.38973,1.48449,1.92525
90.01876903,-2.95037,-2.95033,-5.72327,0.990945,1.41607
90.02999516,-2.24694,-2.2469,-6.14102,0.252746,0.652625
90.04167131,-1.48144,-1.48139,-6.49351,-0.536803,-0.166372
90.04755619,-1.08355,-1.0835,-6.63997,-0.941722,-0.587647
90.05349834,-0.674458,-0.674407,-6.76696,-1.35365,-1.0176
90.05525681,-0.552043,-0.551992,-6.80053,-1.47609,-1.14562
90.05684363,-0.441083,-0.441031,-6.82885,-1.58657,-1.26143
90.05772957,-0.378934,-0.378883,-6.84467,-1.64826,-1.32609
90.05883202,-0.301406,-0.301354,-6.86281,-1.72502,-1.40676
90.05999744,-0.219225,-0.219173,-6.88199,-1.80616,-1.49203
90.06135794,-0.123001,-0.122949,-6.90294,-1.90089,-1.59157
90.06342309,0.0236291,0.0236812,-6.93269,-2.04449,-1.7428
90.06716914,0.291255,0.291308,-6.98032,-2.30416,-2.01713
90.07466124,0.832007,0.83206,-7.05132,-2.81764,-2.56272
90.07809739,1.08215,1.0822,-7.07313,-3.04975,-2.81085
90.08150306,1.33114,1.3312,-7.08812,-3.27696,-3.05448
90.08238538,1.39565,1.3957,-7.0907,-3.3352,-3.11759
90.08333646,1.46539,1.46544,-7.09347,-3.39798,-3.18498
90.08450032,1.55073,1.55078,-7.09523,-3.47425,-3.26743
90.08650074,1.6974,1.69746,-7.09826,-3.60424,-3.40804
90.08983084,1.94158,1.94163,-7.09726,-3.81718,-3.63929
90.09649104,2.42786,2.42791,-7.0769,-4.22774,-4.08877
